READ_CODE,DESCRIPTION
bl5O.,SLOZEM 120mg m/r capsules
bl5P.,SLOZEM 180mg m/r capsules
bl5Q.,SLOZEM 240mg m/r capsules
bl5R.,ANGITIL SR 90 m/r capsules
bl5S.,ANGITIL SR 120 m/r capsules
bl5T.,*METAZEM 60mg tablets
bl5U.,ANGITIL SR 180 m/r capsules
bl5V.,CALCICARD CR 90mg m/r tablets
bl5V.,*CALCICARD CR 90mg m/r tablets
bl5W.,CALCICARD CR 120mg m/r tablets
bl5W.,*CALCICARD CR 120mg m/r tabs
bl5X.,KENTIAZEM 60mg m/r capsules
bl5Y.,*OPTIL 60mg m/r tablets
bl5Z.,TILDIEM LA 200mg m/r capsules
bl5a.,DILTIAZEM HYDROCHLORIDE 90mg m/r tablets
bl5b.,DILTIAZEM HYDROCHLORIDE 300mg m/r capsules
bl5c.,DILTIAZEM HYDROCHLORIDE 90mg m/r capsules
bl5d.,DILTIAZEM HYDROCHLORIDE 120mg m/r capsules
bl5e.,DILTIAZEM HYDROCHLORIDE 180mg m/r capsules
bl5f.,DILTIAZEM HYDROCHLORIDE 60mg m/r capsules
bl5g.,DILTIAZEM HYDROCHLORIDE 240mg m/r capsules
bl5h.,DILTIAZEM HYDROCHLORIDE 200mg m/r capsules
bl5i.,DILTIAZEM HYDROCHLORIDE+HYDROCHLOROTHIAZIDE 150mg/12.5mg m/r capsules
bl5j.,*ADIZEM-XL PLUS m/r capsules
bl5k.,*ANGIOZEM CR 90mg m/r tablets
bl5l.,DILCARDIA SR 60mg m/r capsules
bl5m.,*ANGIOZEM CR 120mg m/r tablets
bl5n.,ZEMTARD 300 XL m/r capsules
bl5o.,VIAZEM XL 120mg m/r capsules
bl5p.,VIAZEM XL 180mg m/r capsules
bl5q.,VIAZEM XL 240mg m/r capsules
bl5r.,VIAZEM XL 300mg m/r capsules
bl5s.,DILTIAZEM HYDROCHLORIDE 360mg m/r capsules
bl5t.,VIAZEM XL 360mg m/r capsules
bl5u.,*CALAZEM 60mg m/r tablets
bl5v.,DILCARDIA SR 90mg m/r capsules
bl5w.,DILCARDIA SR 120mg m/r capsules
bl5x.,ANGITIL XL 240 m/r capsules
bl5y.,ANGITIL XL 300 m/r capsules
bl5z.,DILTIAZEM HYDROCHLORIDE 60mg m/r tablets
bkD..,AMLODIPINE + VALSARTAN
bkD1.,AMLODIPINE+VALSARTAN 5mg/80mg tablets
bkD2.,AMLODIPINE+VALSARTAN 5mg/160mg tablets
bkD3.,AMLODIPINE+VALSARTAN 10mg/160mg tablets
bkDx.,EXFORGE 10mg/160mg tablets
bkDy.,EXFORGE 5mg/160mg tablets
bkDz.,EXFORGE 5mg/80mg tablets
bkH..,OLMESARTAN+AMLODIPINE
bkH1.,SEVIKAR 20mg/5mg tablets
bkH2.,SEVIKAR 40mg/5mg tablets
bkH3.,SEVIKAR 40mg/10mg tablets
bkHx.,OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets
bkHy.,OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets
bkHz.,OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets
bkI..,OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
bkI1.,SEVIKAR HCT 20mg/5mg/12.5mg tablets
bkI2.,SEVIKAR HCT 40mg/5mg/12.5mg tablets
bkI3.,SEVIKAR HCT 40mg/10mg/12.5mg tablets
bkI4.,SEVIKAR HCT 40mg/5mg/25mg tablets
bkI5.,SEVIKAR HCT 40mg/10mg/25mg tablets
blb..,AMLODIPINE
blb1.,AMLODIPINE 5mg tablets
blb2.,AMLODIPINE 10mg tablets
blb3.,ISTIN 5mg tablets
blb4.,ISTIN 10mg tablets
blb5.,*AMLOSTIN 5mg tablets
blb5.,AMLOSTIN 5mg tablets
blb6.,*AMLOSTIN 10mg tablets
blb6.,AMLOSTIN 10mg tablets
blb7.,AMLODIPINE 1mg/mL oral solution
blb8.,AMLODIPINE 2mg/mL oral solution
bb3..,VERAPAMIL HYDROCHLORIDE
bb31.,VERAPAMIL 40mg tablets
bb32.,VERAPAMIL 80mg tablets
bb33.,VERAPAMIL 120mg tablets
bb34.,*BERKATENS 40mg tablets
bb35.,*BERKATENS 80mg tablets
bb36.,*BERKATENS 120mg tablets
bb37.,*BERKATENS 160mg tablets
bb38.,*CORDILOX 40mg tablets
bb39.,*CORDILOX 80mg tablets
bb3A.,VERAPAMIL 240mg m/r tablets
bb3B.,HALF SECURON SR 120mg m/r tablets
bb3C.,VERAPAMIL 120mg m/r tablets
bb3D.,VERAPAMIL 40mg/5mL sugar free solution
bb3E.,VERAPAMIL HCL 5mg/2mL prefilled syringe
bb3F.,HALF-SECURON SR 120mg m/r tablets 28CP
bb3G.,*HYPANEZE 40 tablets
bb3H.,*HYPANEZE 80 tablets
bb3J.,*HYPANEZE 120 tablets
bb3K.,*VERAPRESS MR 240 m/r tablets
bb3L.,*ETHIMIL MR 240 m/r tablets
bb3M.,CORDILOX MR 240 m/r tablets
bb3N.,ZOLVERA 40mg/5mL oral solution
bb3O.,*RANVERA MR 240mg m/r tablets
bb3P.,VERA-TIL SR 240mg m/r tablets
bb3Q.,VERA-TIL SR 120mg m/r tablets
bb3a.,CORDILOX 120mg tablets
bb3b.,*CORDILOX 160mg tablets
bb3c.,*CORDILOX 5mg/2mL injection
bb3d.,*SECURON 40mg tablets
bb3e.,*SECURON 80mg tablets
bb3f.,*SECURON 120mg tablets
bb3g.,*SECURON 120mg tablets 56CP
bb3h.,*SECURON 160mg tablets 56CP
bb3i.,*SECURON 160mg tablets
bb3j.,SECURON SR 240mg m/r tablets
bb3k.,SECURON SR 240mg m/r tablets 28CP
bb3l.,UNIVER 120mg m/r capsules x28
bb3m.,UNIVER 180mg m/r capsules x56
bb3n.,UNIVER 240mg m/r capsules x28
bb3o.,SECURON IV 5mg/2mL injection
bb3p.,*GEANGIN 40mg tablets
bb3q.,*GEANGIN 80mg tablets
bb3r.,*GEANGIN 120mg tablets
bb3s.,VERTAB SR 240 m/r tablets
bb3t.,VERAPAMIL 5mg/2mL injection
bb3v.,VERAPAMIL 120mg m/r capsules
bb3w.,VERAPAMIL 160mg tablets
bb3x.,VERPAMIL HCL 120mg tablets x56
bb3y.,VERAPAMIL 240mg m/r capsules
bb3z.,VERAPAMIL 180mg m/r capsules
bk6..,TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE
bk61.,TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE 2mg/180mg m/r capsules
bk61.,TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE 2mg/180mg m/r capsules
bk62.,TARKA 2mg/180mg m/r capsules
bk62.,*TARKA 2mg/180mg m/r capsules
blc..,FELODIPINE
blc1.,FELODIPINE 5mg m/r tablets
blc2.,FELODIPINE 10mg m/r tablets
blc3.,PLENDIL 5mg m/r tablets
blc4.,PLENDIL 10mg m/r tablets
blc5.,FELODIPINE 2.5mg m/r tablets
blc6.,PLENDIL 2.5mg m/r tablets
blc7.,CABREN 2.5mg m/r tablets
blc8.,CABREN 5mg m/r tablets
blc9.,CABREN 10mg m/r tablets
blca.,FELOTENS XL 5mg m/r tablets
blcb.,FELOTENS XL 10mg m/r tablets
blcc.,FELOGEN XL 5mg m/r tablets
blcd.,FELENDIL XL 5mg m/r tablets
blce.,FELENDIL XL 10mg m/r tablets
blcf.,KELOC SR 5mg m/r tablets
blcg.,KELOC SR 10mg m/r tablets
blch.,FELOGEN XL 10mg m/r tablets
blci.,VASCALPHA 5mg m/r tablets
blcj.,VASCALPHA 10mg m/r tablets
blck.,CARDIOPLEN XL 5mg m/r tablets
blcl.,CARDIOPLEN XL 10mg m/r tablets
blcm.,NEOFEL XL 5mg m/r tablets
blcn.,NEOFEL XL 10mg m/r tablets
blco.,PARMID XL 5mg m/r tablets
blcp.,PARMID XL 10mg m/r tablets
blcq.,PINEFELD XL 10mg m/r tablets
blcr.,CARDIOPLEN XL 2.5mg m/r tablets
blcs.,NEOFEL XL 2.5mg m/r tablets
blct.,FELOTENS XL 2.5mg m/r tablets
bA...,CALCIUM-CHANNEL BLOCKER+ANGIOTENSIN-CONVERTING ENZYME INHIBITOR
bA1..,FELODIPINE+RAMIPRIL
bA11.,TRIAPIN MITE 2.5mg/2.5mg tablets
bA12.,TRIAPIN 5mg/5mg tablets
bA1y.,FELODIPINE+RAMIPRIL 2.5mg/2.5mg tablets
bA1z.,FELODIPINE+RAMIPRIL 5mg/5mg tablets
bla..,ISRADIPINE
bla..,*ISRADIPINE
bla..,ISRADIPINE
bla1.,*ISRADIPINE 2.5mg tablets
bla1.,ISRADIPINE 2.5mg tablets
bla1.,ISRADIPINE 2.5mg tablets
bla2.,PRESCAL 2.5mg tablets
bla2.,*PRESCAL 2.5mg tablets
ble..,LACIDIPINE
ble1.,LACIDIPINE 2mg tablets
ble2.,LACIDIPINE 4mg tablets
ble3.,MOTENS 2mg tablets
ble4.,MOTENS 4mg tablets
ble5.,MOLAP 4mg tablets
blh..,LERCANIDIPINE HYDROCHLORIDE
blh1.,LERCANIDIPINE HYDROCHLORIDE 10mg tablets
blh2.,ZANIDIP 10mg tablets
blh3.,LERCANIDIPINE HYDROCHLORIDE 20mg tablets
blh4.,ZANIDIP 20mg tablets
bl6..,*LIDOFLAZINE
bl61.,*CLINIUM 120mg tablets
bl6z.,*LIDOFLAZINE 120mg tablets
bli..,MIBEFRADIL
bli1.,*MIBEFRADIL 50mg tablets
bli2.,*MIBEFRADIL 100mg tablets
bli3.,*POSICOR 50mg tablets
bli4.,*POSICOR 100mg tablets
bl7..,NICARDIPINE HYDROCHLORIDE
bl71.,CARDENE 20mg capsules
bl72.,CARDENE 30mg capsules
bl73.,CARDENE SR 30mg m/r capsules
bl74.,CARDENE SR 45mg m/r capsules
bl75.,NICARDIPINE 10mg/10mL solution for injection
bl7w.,NICARDIPINE 45mg m/r capsules
bl7x.,NICARDIPINE 30mg m/r capsules
bl7y.,NICARDIPINE 20mg capsules
bl7z.,NICARDIPINE 30mg capsules
dt1..,NIMODIPINE
dt11.,NIMODIPINE 200microgram/mL intravenous infusion 50mL
dt12.,NIMOTOP 200micrograms/mL intravenous infusion 50mL
dt13.,NIMODIPINE 30mg tablets
dt14.,NIMOTOP 30mg tablets
dt15.,NIMODIPINE 50mg/250mL intravenous infusion
dt16.,NIMOTOP IV 50mg/250mL infusion
blg..,NISOLDIPINE
blg1.,*NISOLDIPINE 10mg m/r tablets
blg2.,*NISOLDIPINE 20mg m/r tablets
blg3.,*NISOLDIPINE 30mg m/r tablets
blg4.,*SYSCOR MR 10mg m/r tablets
blg5.,*SYSCOR MR 20mg m/r tablets
blg6.,*SYSCOR MR 30mg m/r tablets
bl9..,*PRENYLAMINE
bl91.,*SYNADRIN 60mg tablets
bl9z.,*PRENYLAMINE 60mg tablets
