READ_CODE,DESCRIPTION
bi1D.,*CAPTO-CO 25mg/12.5mg tablets
bi1E.,*CAPTO-CO 50mg/25mg tablets
bi1F.,CO-ZIDOCAPT 25mg/12.5mg tablet
bi1G.,*CO-ZIDOCAPT 50mg/25mg tablets
bi1b.,ACEZIDE 50mg tablets x56
bi1c.,*CAPOZIDE 50mg tablets x28
bi1d.,*CAPOZIDE LS 25mg tabletsx28CP
bi1e.,CAPTOPRIL+HYDROCHLOROTHIAZIDE 25mg/12.5mg tablets
bi1f.,CAPTOPRIL+HYDROCHLOROTHIAZIDE 50mg/25mg tablets
bi2b.,ENALAPRIL MALEATE+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi3m.,*ZESTORETIC tablets 28CP
bi3n.,ZESTORETIC 20/12.5mg tablets
bi3p.,LISINOPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi3s.,ZESTORETIC 10/12.5mg tablets
bi3t.,LISINOPRIL+HYDROCHLOROTHIAZIDE 10mg/12.5mg tablets
bi3u.,*CARALPHA 10/12.5mg tablets
bi3v.,*CARALPHA 20/12.5mg tablets
bi3w.,LISICOSTAD HCT 20/12.5mg tablets
bi3x.,LISICOSTAD HCT 10/12.5mg tablets
bi47.,ACCURETIC tablets
bi48.,QUINAPRIL+HYDROCHLOROTHIAZIDE 10/12.5mg tablets
bi4F.,QUINAPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi55.,PERINDOPRIL ERBUMINE+INDAPAMIDE 4mg/1.25mg tablets
bi56.,COVERSYL PLUS 4mg/1.25mg tablets
bk35.,LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 50mg/12.5mg tablets
bk36.,COZAAR-COMP 50mg/12.5mg tablets
bk39.,COZAAR-COMP 100mg/25mg tablets
bk3A.,COZAAR-COMP 100mg/12.5mg tablets
bk3y.,LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets
bk3z.,LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/25mg tablets
bk4x.,VALSARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bk4y.,VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/25mg tablets
bk4z.,VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/12.5mg tablets
bk47.,CO-DIOVAN 160mg/12.5mg tablets
bk48.,CO-DIOVAN 160mg/25mg tablets
bk49.,CO-DIOVAN 80mg/12.5mg tablets
bk57.,COAPROVEL 150mg/12.5mg tablets
bk58.,COAPROVEL 300mg/12.5mg tablets
bk59.,COAPROVEL 300mg/25mg tablets
bk5x.,IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets
bk5y.,IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/12.5mg tablets
bk5z.,IRBESARTAN+HYDROCHLOROTHIAZIDE 150mg/12.5mg tablets
bk86.,MICARDISPLUS 40mg/12.5mg tablets
bk87.,MICARDISPLUS 80mg/12.5mg tablets
bk88.,MICARDISPLUS 80mg/25mg tablets
bk8w.,TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets
bk8x.,TELMISARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bk8y.,TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bkC..,HYDROCHLOROTHIAZIDE + OLMESARTAN
bkC1.,OLMETEC PLUS 20mg/12.5mg tablets
bkC2.,OLMETEC PLUS 20mg/25mg tablets
bkC3.,OLMETEC PLUS 40mg/12.5mg tablets
bkCx.,OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
bkCy.,OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/25mg tablets
bkCz.,OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bkI..,OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
bkI1.,SEVIKAR HCT 20mg/5mg/12.5mg tablets
bkI2.,SEVIKAR HCT 40mg/5mg/12.5mg tablets
bkI3.,SEVIKAR HCT 40mg/10mg/12.5mg tablets
bkI4.,SEVIKAR HCT 40mg/5mg/25mg tablets
bkI5.,SEVIKAR HCT 40mg/10mg/25mg tablets
bl5i.,DILTIAZEM HYDROCHLORIDE+HYDROCHLOROTHIAZIDE 150mg/12.5mg m/r capsules
bl5j.,*ADIZEM-XL PLUS m/r capsules
b511.,ALDACTIDE-25 tablets
b512.,ALDACTIDE-50 tablets
b513.,*AMILCO tablets
b514.,DYAZIDE tablets
b515.,*DYTIDE capsules
b518.,KALSPARE tablets
b51A.,CO-TRIAMTERZIDE 50/25mg tablets
b51C.,AMILORIDE HCL+CYCLOPENTHIAZIDE 2.5mg/250micrograms tablets
b51E.,TRIAMTERENE+BENZTHIAZIDE 50mg/25mg capsules
b51F.,TRIAMTERENE+CHLORTHALIDONE 50mg/25mg tablets
b51G.,TRIAMTERENE+CHLORTALIDONE 50mg/50mg tablets
b51O.,*SPIRO-CO 25mg tablets
b51P.,*SPIRO-CO 50mg tablets
b51Q.,*ZIDA-CO 5mg/50mg tablets
b51a.,MODURET-25 tablets
b51b.,MODURETIC tablets
b51c.,*MODURETIC mixture
b51d.,*NORMETIC tablets
b51e.,*SYNURETIC tablets
b51f.,*TRIAMCO tablets
b51g.,*HYPERTANE-50 tablets
b51j.,CO-AMILOZIDE 2.5/25mg tablets
b51k.,CO-AMILOZIDE 5/50mg tablets
b51l.,CO-AMILOZIDE 5mg/50mg/5mL mixture
b51m.,VASETIC CO-AMILOZIDE 5/50mg tablets
b51p.,CO-FLUMACTONE-25 tablets
b51q.,CO-FLUMACTONE-50 tablets
b51r.,NAVISPARE 2.5/0.25mg tablets
b51s.,*AMILMAXCO 5/50 tablets
b51v.,*TRIAMAXCO 50/25mg tablets
b51w.,*KALSPARE LS tablets
bi3k.,CARACE 20 PLUS tablets
bi3l.,*CARACE 10 PLUS tablets
biC7.,COVERSYL ARGININE PLUS 5mg/1.25mg tablets
biC8.,PERINDOPRIL ARGININE+INDAPAMIDE 5mg/1.25mg tablets
bf3a.,*DECASERPYL PLUS tablets
b51K.,*DELVAS tablets
bf3c.,*SERPASIL-ESIDREX tablets
bf2f.,*HYDROMET tablets
bi28.,INNOZIDE 20/12.5mg tablets
d2c6.,*TENAVOID tablets
